movie_id,score
278,0
19404,0
238,1
424,0
240,1
667257,0
129,0
730154,0
372754,0
372058,0
389,0
696374,0
496243,0
497,0
724089,0
155,0
429,0
680,0
122,0
761053,0
13,0
11216,0
346,0
769,0
533514,0
637,0
311,0
14537,0
539,0
652837,0
40096,0
12477,0
510,0
550,0
283566,0
324857,0
598,0
255709,0
378064,0
92321,0
4935,0
18491,0
1891,0
599,0
441130,0
120,0
3782,0
704264,0
423,0
157336,0
244786,0
121,0
73,0
567,0
27205,0
635302,0
632632,0
901,0
12493,0
914,0
807,0
361743,0
128,0
644479,0
274,0
25237,0
630566,0
207,0
3082,0
527641,0
101,0
335,0
556574,0
975,0
618344,0
105,0
592350,0
447362,0
575813,0
16672,0
42269,0
18148,0
10494,0
10376,0
28,0
572154,0
299534,0
29259,0
637920,0
265177,0
670,0
537061,0
522924,0
791373,0
508965,0
290098,0
299536,1
77338,0
532067,0
545611,0
8587,0
1585,0
797,0
526702,0
5156,0
110420,0
476292,0
24188,0
490132,0
610892,0
504253,0
20532,0
37257,0
755812,0
664767,0
663558,0
1398,0
422,0
10098,0
284,0
823754,0
354912,0
694,0
313106,0
185,0
490,0
26451,0
426,0
470044,0
2457,0
531428,0
16869,0
518068,0
398818,0
11,0
629,0
98,0
399106,0
1124,0
857,0
77,0
11324,0
603,0
620683,0
517814,0
50014,0
324786,0
508442,0
103,0
406997,0
872,0
19,0
11878,0
475557,0
705,0
133919,0
289,0
439,0
400608,0
895,0
600354,0
111,0
20914,0
1422,0
548,0
100,0
472454,0
606856,0
996,0
666,0
992,0
640344,0
654299,0
615457,0
500,0
68718,0
831827,0
55823,0
337404,0
600,0
489,0
239,0
935,0
614,0
348,0
785534,0
411088,0
655,0
638507,0
9764,0
5801,0
149871,0
17663,0
12445,0
92060,0
24382,0
37165,0
3780,0
832,0
550776,0
843,0
46738,0
42229,0
38288,0
7345,0
529531,0
38,0
843906,0
103663,0
359940,0
334543,0
652722,0
14696,0
574074,0
11659,0
55960,0
780,0
147,0
347688,0
406,0
449176,0
387,0
4348,0
1955,0
1396,0
437068,0
81481,0
11645,0
62,0
515001,0
9702,0
280,0
282848,0
8422,0
8392,0
19542,0
20530,0
19426,0
11423,0
482321,0
28422,0
522518,0
339877,0
10681,0
381284,0
146233,0
7347,0
115929,0
26022,0
821,0
538362,0
568160,0
522402,0
264644,0
120467,0
58007,0
438695,0
400928,0
634649,1
455661,0
397567,0
582,0
632322,0
9277,0
595,0
204,0
550205,0
20941,0
28978,0
11104,0
961,0
310569,0
21634,0
938,0
110416,0
378108,0
800,0
3090,0
521,0
458220,0
429210,0
1059,0
776503,0
610461,0
20803,0
962,0
641,0
307,0
14,0
38360,0
106646,0
15,0
678580,0
158445,0
11778,0
15244,0
2517,0
279,0
315465,0
554596,0
426618,0
12761,0
673,0
1091,0
424694,0
654,0
205596,0
7508,0
524,0
776305,0
501929,0
28178,0
12104,0
237791,0
25376,0
11658,0
488623,0
770,0
667520,0
140420,0
13223,0
3175,0
41050,0
359724,0
11712,0
242828,0
213,0
360814,0
94047,0
560066,0
1580,0
1578,0
1092,0
20875,0
29264,0
20334,0
18438,0
28971,0
527774,0
406785,0
10238,0
458302,0
142061,0
523781,0
15383,0
573164,0
455714,0
20453,0
627,0
530915,0
947,0
489412,0
10515,0
45752,0
20271,0
405,0
24,0
38286,0
775,0
110,0
801335,0
10242,0
10404,0
862,0
17295,0
3777,0
70,0
920394,0
414419,0
505262,0
31411,0
76,0
21334,0
49964,0
588228,0
234,0
149,0
7857,0
640,0
76203,0
20722,0
11010,0
5925,0
594634,0
779047,0
43949,0
548544,0
152532,0
756999,0
491480,0
745,0
522212,0
160885,0
14160,0
556901,0
552532,0
316029,0
9323,0
3083,0
223,0
32085,0
33,0
435129,0
8290,0
3034,0
508943,0
334533,0
1646,0
150540,0
48035,0
25364,0
24167,0
2011,0
197,0
78,0
613868,0
10674,0
6977,0
662,0
597316,0
829,0
329,0
60243,0
81,0
85,0
31439,0
10728,0
37797,0
615453,0
331482,0
10386,0
7984,0
671,0
183011,0
47796,0
2721,0
679,0
631,0
45523,0
3870,0
3112,0
122906,0
198,0
118340,0
29455,0
1892,0
194,0
564427,0
369557,0
1402,0
946,0
804,0
746957,0
56231,0
31442,0
579245,0
25538,0
3078,0
16,0
83564,0
949,0
752,0
301,0
379170,0
16390,0
13398,0
367412,0
348892,0
296096,0
404378,0
1394,0
6715,0
10997,0
726684,0
210577,0
843241,0
391,0
30588,0
1675,0
11293,0
827,0
86000,0
430424,0
313369,0
11830,0
303867,0
20873,0
381341,0
16804,0
275,0
11036,0
593,0
393,0
266856,0
833,0
505192,0
597,0
22596,0
2440,0
5511,0
22843,0
934,0
438631,0
10774,0
1162,0
235,0
398924,0
93,0
23160,0
399174,0
152601,0
33320,0
602063,0
293299,0
705861,0
579792,0
445030,0
5544,0
546554,0
352173,0
5924,0
677638,0
614917,0
11602,0
185789,0
11953,0
180147,0
581,0
113833,0
24238,0
14574,0
453,0
71157,0
980,0
47931,0
31011,0
665,0
596,0
899405,0
265195,0
1626,0
777,0
144,0
115,0
32480,0
24480,0
11049,0
59440,0
359156,0
152742,0
58129,0
16859,0
6075,0
10757,0
50759,0
9479,0
810693,0
503314,0
200727,0
1018,0
887,0
354857,0
317442,0
5000,0
113,0
609242,0
25253,0
15859,0
841755,0
21135,0
613,0
136,0
11656,0
335578,0
31056,0
89,0
5991,0
12,0
968,0
805,0
585,0
10775,0
5915,0
826,0
674,0
396,0
446159,0
502,0
810171,0
80,0
314365,0
25606,0
1908,0
1280,0
831223,0
142,0
263115,0
506574,0
29845,0
762,0
393559,0
423612,0
419478,0
656563,0
